fname,label
HIP85365_57502.32461_112327720,0
HIP85365_57502.30947_112342853,0
HIP85582_57502.34912_107423279,1
HIP86032_57502.35747_112926047_OFF,2
HIP86032_57502.35747_106024531,1
HIP86032_57502.35747_105987141_OFF,1
HIP86032_57502.36503_122935783,0
HIP85365_57502.30947_105952748,1
HIP85365_57502.32461_116317393_OFF,0
HIP85365_57502.30947_106321980,1
HIP86032_57502.36503_174583551,3
HIP86032_57502.35747_106058035,1
HIP86032_57502.36503_174694995,3
HIP85582_57502.34912_113598823,2
HIP86032_57502.36503_96186946,1
HIP85365_57502.30947_106300123_OFF,1
HIP86032_57502.36503_105905442,1
HIP86032_57502.35747_112603347_OFF,2
HIP85582_57502.34127_105910899,1
HIP85365_57502.30947_106169990,1
HIP86032_57502.36503_174675951_OFF,3
HIP86032_57502.35747_112844535,0
HIP85582_57502.34912_122350838_OFF,0
HIP86032_57502.35747_106076021,1
HIP85365_57502.30947_105927699,1
HIP85365_57502.30947_106251446,1
HIP86032_57502.37260_105990766,1
HIP85582_57502.34127_112859453,0
HIP85365_57502.30947_112271354_OFF,0
HIP85582_57502.34912_107446911,1
HIP85365_57502.32461_116140229_OFF,0
HIP85365_57502.30947_112791946_OFF,0
HIP86032_57502.35747_106001608,1
HIP86032_57502.36503_114341139,2
HIP85365_57502.32461_112543532_OFF,2
HIP86032_57502.35747_123605967,2
HIP86032_57502.37260_106079992_OFF,1
HIP86032_57502.37260_106077791_OFF,1
HIP86032_57502.35747_106263290,1
HIP86032_57502.35747_112834844,0
HIP85365_57502.32461_112238131_OFF,0
HIP86032_57502.36503_96213040,1
HIP86032_57502.35747_106184291,1
HIP86032_57502.35747_112958548,2
HIP86032_57502.35747_112838236,0
HIP85365_57502.31704_112242494,0
HIP85365_57502.30947_106208459_OFF,1
HIP85365_57502.31704_112239856_OFF,0
HIP85365_57502.30947_105931259_OFF,1
HIP85365_57502.32461_112264405,0
HIP86032_57502.36503_114350126_OFF,2
HIP85582_57502.34912_112968798,2
HIP85582_57502.34912_112941564,2
HIP85365_57502.32461_112530950_OFF,2
HIP86032_57502.35747_123124118_OFF,0
HIP86032_57502.35747_106085890,1
HIP85365_57502.30947_112774556_OFF,0
HIP86032_57502.36503_175638280,3
HIP85582_57502.34127_105931451_OFF,1
HIP85365_57502.31704_106346471,1
HIP86032_57502.36503_105951642,1
HIP86032_57502.36503_122927174,0
HIP86032_57502.36503_114331895_OFF,2
HIP85365_57502.32461_112530180_OFF,2
HIP86032_57502.35747_112860095,0
HIP86032_57502.35747_112981881,2
HIP85582_57502.34127_112748597,0
HIP86032_57502.36503_174778578_OFF,3
HIP85365_57502.31704_112065409_OFF,0
HIP85365_57502.32461_112346241_OFF,0
HIP85582_57502.34912_114350643_OFF,2
HIP85582_57502.34912_96267930,1
HIP86032_57502.36503_96231731_OFF,1
HIP86032_57502.36503_96235258_OFF,1
HIP85582_57502.34127_112819881,0
HIP85582_57502.34127_112779393,0
HIP85365_57502.31704_112256546_OFF,0
HIP86032_57502.35747_106257647_OFF,1
HIP85365_57502.30947_112860107_OFF,0
HIP85365_57502.30947_106016578_OFF,1
HIP85365_57502.32461_116302991,0
HIP86032_57502.36503_175206368,3
HIP86032_57502.36503_65375857,0
HIP86032_57502.36503_123067049,0
HIP86032_57502.36503_174608242,3
HIP86032_57502.36503_96140037,1
HIP85365_57502.32461_116147979,0
HIP86032_57502.36503_174592015,3
HIP85365_57502.30947_111590784_OFF,2
